Order_ID,Date,Customer ID,Product,Quantity,Unit_Price,Shipping Address,Payment_Method,Order_Status,Tracking_Number,Items_In_Cart,Coupon_Code,Referral_Source,Total_Price
ORD200000,04/01/2023,C72649,Monitor,5,$571,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,"$2,853"
ORD200001,23/08/2024,C75739,Phone,2,$151,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,$303
ORD200002,27/02/2024,C81728,Tablet,5,$551,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,"$2,753"
ORD200003,15/10/2023,C33540,Chair,1,$273,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,$273
ORD200004,08/05/2025,C81840,Printer,4,$626,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,"$2,504"
ORD200005,23/10/2023,C37249,Phone,2,$246,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,$492
ORD200006,17/06/2025,C83492,Laptop,1,$664,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,$664
ORD200007,12/05/2023,C41460,Monitor,5,$150,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,$748
ORD200008,02/04/2025,C26817,Phone,2,$134,904 Main St,Gift Card,Cancelled,TRK61042692,2,Unknown,Email,$269
ORD200009,21/11/2023,C31946,Desk,4,$509,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,"$2,038"
ORD200010,29/12/2023,C43443,Tablet,5,$626,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,"$3,130"
ORD200011,17/02/2024,C93861,Monitor,3,$49,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,$147
ORD200012,15/10/2024,C38785,Monitor,2,$181,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,$361
ORD200013,30/08/2023,C88348,Laptop,3,$201,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,$604
